Type,Text,C3,C4,C5
ham,I love u 2 my little pocy bell I am sorry but I love u,,,
ham,"Call me da, i am waiting for your call.",,,
spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you,,,
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",,,
ham,I called but no one pick up e phone. I ask both of them already they said ok.,,,
ham,Watching ajith film ah?,,,
ham,"Alright, we're all set here, text the man",,,
ham,"Dont worry, 1 day very big lambu ji vl come..til then enjoy batchlor party:-)",,,
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,,,
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour,,,
ham,Hi. I'm always online on yahoo and would like to chat with you someday,,,
ham,Good morning princess! How are you?,,,
ham,Fine am simply sitting.,,,
ham,Prabha..i'm soryda..realy..frm heart i'm sory,,,
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth �33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,,,
spam,You are a winner U have been specially selected 2 receive �1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
ham,i dnt wnt to tlk wid u,,,
ham,You should get more chicken broth if you want ramen unless there's some I don't know about,,,
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",,,
ham,Ok. So april. Cant wait,,,
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",,,
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage. ",,,
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed �1000 cash or �5000 prize!,,,
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,
ham,You are gorgeous! keep those pix cumming :) thank you!,,,
ham,Ok anyway no need to change with what you said,,,
ham,Lol where do u come up with these ideas?,,,
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,,,
ham,"I think your mentor is , but not 100 percent sure.",,,
ham,"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite""",,,
ham,O we cant see if we can join denis and mina? Or does denis want alone time,,,
spam,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,,,
ham,Got it..mail panren paru..,,,
spam,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",,,
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",,,
ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,,,
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",,,
ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!,,,
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,,,
ham,Hey i've booked the 2 lessons on sun liao...,,,
ham,"That's cool, I'll come by like  &lt;#&gt; ish",,,
ham,Its a part of checking IQ,,,
ham,"Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...",,,
spam,"Last Chance! Claim ur �150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. �3.00 Sub. 16",,,
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !,,,
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,,,
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",,,
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas",,,
ham,Jus finish bathing...,,,
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,,,
ham,"K I'll head out in a few mins, see you there",,,
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,,,
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,,,
ham,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,,,
ham,U can call now...,,,
ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,,,
spam,Last chance 2 claim ur �150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. �3.00 Sub. 16 . Remove txt X or STOP,,,
spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged �4.50. Should your tone not arrive please call customer services on 09065069120",,,
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",,,
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,,,
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",,,
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,,,
ham,Ok lor... Or u wan me go look 4 u?,,,
ham,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,,,
ham,Thnx dude. u guys out 2nite?,,,
ham,Eh u send wrongly lar...,,,
ham,"Just got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho",,,
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)",,,
ham,Nah im goin 2 the wrks with j wot bout u?,,,
ham,"Theoretically yeah, he could be able to come",,,
ham,He also knows about lunch menu only da. . I know,,,
ham,Fine. Do you remember me.,,,
ham,May i call You later Pls,,,
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
ham,Haha okay... Today weekend leh... ,,,
ham,Nan sonathaya soladha. Why boss?,,,
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,,,
ham,You bad girl. I can still remember them,,,
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,,,
ham,Yup ok...,,,
ham,Pls speak to that customer machan.,,,
spam,FREE entry into our �250 weekly competition just text the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,,,
ham,Have you bookedthe hut? And also your time off? How are you by the way?,,,
ham,How are you. Its been ages. How's abj,,,
ham,Ok. I.ll do you right later.,,,
ham,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",,,
ham,Dunno lei he neva say...,,,
ham,You'd like that wouldn't you? Jerk!,,,
ham,How would my ip address test that considering my computer isn't a minecraft server,,,
ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,,,
ham,Xy trying smth now. U eat already? We havent...,,,
ham,Good. Good job. I like entrepreneurs,,,
ham,Argh why the fuck is nobody in town ;_;,,,
ham,Yun buying... But school got offer 2000 plus only...,,,
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,,,
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
ham,Howz that persons story,,,
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",,,
ham,say thanks2. ,,,
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",,,
ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",,,
ham,"Playin space poker, u?",,,
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",,,
ham,O shore are you takin the bus,,,
ham,Hmm thinking lor...,,,
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),,,
ham,"Im sorry bout last nite it wasn��t ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",,,
ham,Dear reached railway. What happen to you,,,
ham,Dont kick coco when he's down,,,
ham,Prabha..i'm soryda..realy..frm heart i'm sory,,,
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",,,
ham,My uncles in Atlanta. Wish you guys a great semester.,,,
ham,Yes. Rent is very expensive so its the way we save.,,,
ham,Ok... Ur typical reply...,,,
ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  ,,,
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,,,
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,,,
ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-),,,
ham,Hey i'm bored... So i'm thinking of u... So wat r u doing?,,,
ham,"\Gimme a few\"" was  &lt;#&gt;  minutes ago""",,,
ham,�� collecting ur laptop then going to configure da settings izzit?,,,
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,,,
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?,,,
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
ham,Do you hide anythiing or keeping distance from me,,,
ham,Wat's da model num of ur phone?,,,
spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at �350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",,,
ham,Yes but I don't care cause I know its there!,,,
ham,Do you like shaking your booty on the dance floor?,,,
ham,Yeah but which is worse for i,,,
ham,Dont gimme that lip caveboy,,,
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, �3 per pole. UnSub 08718727870.",,,
ham,R we going with the  &lt;#&gt;  bus?,,,
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,,,
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,,,
ham,No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,,,
ham,Man this bus is so so so slow. I think you're gonna get there before me,,,
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
ham,I'm leaving my house now...,,,
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",,,
ham,Watching tv lor. Nice one then i like lor.,,,
ham,Have you not finished work yet or something?,,,
spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,,,
spam,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,,,
ham,I will be outside office take all from there,,,
ham,There bold 2  &lt;#&gt; . Is that yours,,,
ham,"Haha good to hear, I'm officially paid and on the market for an 8th",,,
ham,oh ya... Got hip hop open. Haha i was thinking can go for jazz then zoom to cine... Actually tonight i'm free leh... And there's a kb lesson tonight,,,
ham,Hi dis is yijue i would be happy to work wif �_ all for gek1510...,,,
ham,Roger that. We���re probably going to rem in about 20,,,
ham,As in i want custom officer discount oh.,,,
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,,,
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",,,
ham,I think i've fixed it can you send a test message?,,,
